content,sentiment
I Am Hot Dude With A Cool Attitude.,angry
Sorry Vegetarians We Can’T Pretend.,angry
Follow Your Heart But Don;T Be Stupid.,angry
My Attitude Based On How You Treat Me.,angry
I Not Perfect But I Am Limited Addition.,angry
I’M Cool But Global Warming Made Me Hot.,angry
Stop Checking My Status ! Go Get A Life!,angry
I’M Not Nerd. I Am Just Smarter Than You.,angry
I’M Sorry If I Change But You Changed Too.,angry
I Am Who I Am. Your Approval Is Not Needed.,angry
"I’M Not Special , I’M Just Limited Edition.",angry
Your Silence Is The Best Response To A Fool.,angry
I Am Me And I Won’T Change Myself For Anyone.,angry
Don’T Take My Kindness As A Sign Of Weakness.,angry
Excellence Is Not A Skill. It Is An Attitude.,angry
Everything That Kills Me Makes Me Feel Alive.,angry
I’M Sorry My Fault. I Forgot You’Re An Idiot.,angry
I’M Poor. I Can’T Pay Attention In Class Room.,angry
"Before You Judge Me, Make Sure You Are Perfect.",angry
You Attitude May Hurt Me But Mine Can Kill You.,angry
"Yeah You – The One Reading My Status, Get Lost!",angry
Don’T Copy My Attitude Because It’S My Attitude.,angry
"When I’M Good I’M Best , When I’M Bad I’M Worst.",angry
Hurt Me With Truth But Never Comfort Me With Lie.,angry
The Biggest Slap To Your Enemies Is Your Success.,angry
You Say I Dream Too Big. I Say You Think To Small.,angry
Don;T Show Me Ur Attitude As You Can’T Handle Mine.,angry
"I Don’T Have A Bad Handwriting, I Have My Own Font.",angry
My Attitude Will Always Be Based On How You Treat Me.,angry
I Never Insult People I Only Tell Them What They Are.,angry
My Level Of Maturity Changes Depending On Who I’M With.,angry
Attitude Is A Little Thing That Makes A Big Difference.,angry
I Allow Myself To Be Badass Confident In All That I Do.,angry
Style Is A Reflection Of Your Attitude And Personality.,angry
You Are A Designer Of Your Own Destiny. Make It Better.,angry
"I may win and I may lose, but I will never be defeated.",angry
"If You Think I Am Bad Than You’Re Wrong, I’M The Worst.",angry
"I Know I Am Awesome, So I Don’T Care About Your Opinion.",angry
I Don’T Need To Explain Myself Because I Know I’M Right.,angry
"People May Hear Your Words, But They Feel Your Attitude.",angry
My “Last Seen At” Was Just To Check Your “Last Seen At”.,happy
The Best Way To Destroy An Enemy Is To Make Him A Friend.,angry
Me And My Wife Live Happily For  Years And Then We Met…,angry
I Wish I Had Google In My Mind And Antivirus In My Heart.,angry
I’M Not Changed It’S Just I Grew Up And You Should Try Too.,angry
Fake People Have Image To Main. Real People Just Don’T Care.,angry
"Of Course, I Talk To Myself, Sometimes I Need Expert Advice.",angry
Life Is Too Short. Don’T Waste It Removing Pen Drive Safely.,angry
"Life Will Give You Exactly What You Need, Not What You Want.",angry
Some People Need to Open Their Small Minds Instead Of Their Big Mouths.,angry
"People Change, Things Go Wrong, Shit Happens, But Life Goes On.",angry
"Don’T Try To Please Other People If In The End, You Know It Wont Work.",angry
"When You Stopped Believing In Me, I Did Too.",angry
It Takes A Lot Of Energy To Get Angry. I Don’t Care To Use My Energy That Way.,angry
"I May Look Calm, But In My Head I’ve Killed You About 5 Times.",angry
Sometimes I’M Just Not In The Mood To Talk.,angry
"If I Delete Your Number, You’Re Basically Deleted From My Life.",angry
"Go Ahead, Judge Me. Just Remember To Be Perfect For The Rest Of Your Life!!",angry
I Wouldn’t Have To Manage My Anger If People Could Learn To Manage Their Stupidity.,angry
"I Will Not Delete You Or Block You. I Am Keeping You There So, You Will Be Able To See How Happy I’M Without You.",angry
It Sucks When You Realise You Rejected Other People. For That One Person Who Wasted Your Time.,angry
"Don’T Be So Happy, I Don’T Really Forgive People, I Just Pretend Like It’S OK And Wait For My Turn To Destroy Them.",angry
"I’M The Person That The More You Complain About Me, The Harder I’Ll Try To Annoy You.",angry
Some People Never Realise The Emotional And Mental Damage They Do To Others.,angry
You Should Have Two Facebook Accounts. One For Each Face.,angry
I Would Not Have To Manage My Anger If People Would Manage Their Stupidity.,angry
Don’t Put Words Into My Mouth. I Have Got Plenty To Say.,angry
"Don’t Tell Me How To Live My Life, I Do Things My Way.",angry
"I Would Not Have To Manage My Anger, If People Would Manage Their Stupidity.",angry
"Everything Is Getting Expensive Except, Some People They Are Getting Cheaper.",angry
Get the Latest Wonderful Collection of Feelings Angry Status in English. All these type of Status are the representation of your Anger once you Get Angry on your loved ones.,angry
"You Can’T Trust Anybody These Days, You Think You Have A Good Friend Till You.",angry
Turn Around And Realize They Have The Knife 6 Inches Deep In Your Back.,angry
Definition of EX: Thanks for the experience.,angry
Our time has expired. Now exit my life.,angry
"My silence doesn’t mean that I quit.. It simply means that, I don’t want to argue with people who just don’t want to understand.!",angry
"It’s better to cry than to be angry because anger hurts others, while tears flow silently through the soul and cleanness the heart.",angry
"If you’re going to talk about me behind my back, don’t smile at me to my face!.",angry
"Anger is an acid that can do more harm to the vessel in which, it is stored than to anything on which it is poured.",angry
"Sometimes I’m not angry, I’m hurt and there’s a big difference.",angry
Never make yourself feel like nothing to make someone else feel like everything.,angry
"Never forget what someone says to you when they are angry, because that’s when the truth comes out.",angry
Anger repressed can poison a relationship as surely as the cruelest words.,angry
"Anger is never without a reason, but seldom with a good one.",angry
"Anger is not bad. Anger can be a very positive thing, the thing that moves us beyond the acceptance of evil.",angry
"Anger is a great force. If you control it, it can be transmuted into a power, which can move the whole world.",angry
Usually in everyday life we have to deal with certain scenario when we are irritated due to certain situation as well as some problems. I understand at that time we feel seriously awful and also can’t get any specific clue how to handle it and even exactly what to show.,angry
The embarrassment after the anger is biggest humiliation a person can experience.,angry
"The strong man is not the good wrestler, the strong man is, only the one who controls himself when he is angry.",angry
"Angry? Take a deep breath before you speak, because your mouth acts quicker than your brain.",angry
Some people never realize the emotional and mental damage they do to others.,angry
"When you ask someone if you over reacted, then that’s your heart telling your mind that it was a stupid decision.",angry
"Nobody makes you angry, you decide to use anger as a response.",angry
"Never do anything when you are in a temper, for you will do everything wrong.",angry
A moment of patience in a moment of anger saves a thousand moments of regret.,angry
"I don’t have a short temper I just have a low tolerance for, stupidity, immaturity and ignorance.",angry
"All angry persons are to be treated, by the prudent, as children.",angry
Anger is a condition in which the tongue works faster than the mind.,angry
"I just don’t care if anyone doesn’t like me, I wasn’t put on earth to entertain everyone.",angry
"A fool gives full vent to his anger, but a wise man keeps himself under control.",angry
"No matter how long you know someone, they eventually show their true colors.",angry
Second chances are only meant for those who learned from the first time.,angry
"If you are patient in one moment of anger, you will escape a hundred days of sorrow.",angry
Two things a man should never be angry at. What he can help… and what he cannot help.,angry
The worst tempered people.  I’ve ever met were people who knew they were wrong.,angry
You think that you have damaged me but really you just made me that much more stronger.. Thank You!!,angry
"Do not teach your children never to be angry, teach them how to be angry.",angry
There are no words to describe the anger and frustration that I am feeling right now.,angry
It’s tough when the people you care about the most are the ones who make you feel the worst.,angry
Tired of waking up everyday and putting on a stupid fake smile and lying to the world.,angry
"Stop being so negative, go see a psychiatrist or something Facebook is for happy people.",angry
"Anger makes you smaller, while forgiveness forces you to grow beyond what you were.",angry
"People change, things go wrong, shit happens, but life goes on.",angry
I have no nationality – the best possible status for an intellectual.,angry
"Don’t try to please other people if in the end, you know it wont work.",angry
Education is the powerful weapon to chance the world.,angry
"Life is simple, people are complicated.",angry
"Beware, I’m not in my greatest mood today.",angry
Anger is just one letter short of DANGER!!!.,angry
Never go to bed mad. Stay up and fight.,angry
Sometimes you just wanna give people a high five to the face.,angry
"By God, there’s a lot to make you angry.",angry
Telling someone to calm down just makes them so much more angry.,angry
"I’ve tried and tried and now I give up. I refuse to be the perfect friend, to people that cant treat me with the same respect.",sad
"Never forget what someone says to you when they are angry, because that’s when the truth comes out.",angry
It Is Clear That You Have Lost Your Importance From Their Life…!!!,angry
"People change, things go wrong, shit happens, but life goes on.",angry
Don’T Make So Many Promises When You Can’T Even Keep One.,angry
There Is No Excuse For Cheating In A Relationship.,angry
"I Don’T Regret My Past. I Just Regret The Time, I Have Wasted With The Wrong People.",angry
Some Things Can Never Be Forgotten And Nor Forgiven.,angry
"The More I Get To Know Guys, The More I Like Dogs.",angry
"I Don’T Need To Manage My Anger, People Need To Manage Their Stupidity.",angry
"I Just Don’T Care If Anyone Doesn’t Like Me, I Wasn’t Put On Earth To Entertain Everyone.",angry
"I Told You I Needed You, You Told Me The Same. I Wasn’t Lying, So Why Didn’t You Tell The Truth?",angry
"My Life, My Choices, My Problems, My Mistakes, My Lessons. Not Yours.",angry
Some Friends Are Like Pennies. Two-Faced & Worthless.,angry
"Business, Mind Your Own Problems Before You Talk About Mine.",angry
"Never Get Into Fights With Ugly People, They Have Nothing To Lose.",angry
"When You Are Angry, Your Text Speed Increases By A Ridiculous Amount.",angry
"Actions Speak Louder Than Words, Your Words Don’T Mean Anything To Me. When Your Actions Are Telling Me Different.",angry
Definition Of Ex: Thanks For The Experience. Our Time Has Expired. Now Exit My Life.,angry
I Text You Because I Want To Have A Conversation With You. Not To Get One Word Answers.,angry
"Never Forget What Someone Says To You When, They Are Angry, Because That’S When The Truth Comes Out.",angry
Some People Need To Open Their Small Minds Instead Of Their Big Mouths.,angry
It sucks when you realise you rejected other people for that one person who wasted your time.,angry
Anger is only one letter short of Danger.,angry
"Man is about as big as the things that make him angry, When you stopped believing in me, I did too.",angry
"Your mistake is letting me go, my mistake was letting you in.",angry
"Is singing, if you’re angry and you know it punch their face.",angry
"Don’t get mad, smile and creep them out instead.",angry
Did you ever just want to slap the stupid out of someone?,angry
"Just because I’m being quiet, that doesn’t mean I’m mad.",angry
Is getting close to just walking away?,angry
May I kill you in the morning?,angry
"Anger makes dull men witty, but it keeps them poor.",angry
Don’t get mad – Just get even.,angry
Whatever is begun in anger ends in shame.,angry
Anger is temporary madness.,angry
"Anger as soon as fed is dead, This starving makes it fat.",angry
Anger is fear in disguise.,angry
Anger blows out the lamp of the mind.,angry
Anger always comes from frustrated expectations.,angry
An angry man opens his mouth and shuts his eyes.,angry
"Never go to bed angry, stay awake and plot your revenge.",angry
Anger at lies lasts forever. Anger at truth can’t last.,angry
Never regret something that once made you smile.,sad
"All angry persons are to be treated, by the prudent, as children.",angry
The Opposite Of Anger Is Not Calmness It’s Empathy..,angry
"Anger can kill, even a feather gently blowing in the wind..",angry
"What Is Anger? It is a punishment we give to ouself, for someone else’s mistake!",angry
"I grew up with lots of anger, frustration and violence in my heart.",angry
"Only three type of people tell the truth: Kids, the drunk, and the angry.",angry
"I Don’t Usually Lose My Temper, But If I Do It’s True I M Scary",angry
Try to manage your anger since people can’t manage their stupidity..,angry
Anger and intolerance are the enemies of correct understanding.,angry
Nobody makes you Angry you decide to use anger as a response..,angry
Sometimes I Want To Treat People How They Treat me But I Can’t Because That’s Not My Character,angry
Control your “Anger” because it is Just one Letter away From “D” anger.,angry
ANGRY? Take a deep breath before you speak because your mouth acts quicker than your brain.,angry
Anger is the fuel of losing control.,angry
"I don’t need anger management, you just need to stop making me angry!!",angry
ANGER DESTROYS MORE THAN IT REPAIRS.,angry
“When you are angry Be Silenty.”,angry
Sometimes one middle finger isn’t enough to let someone know how you feel. that’s why you have two hands…,angry
Some people need to open their small minds instead of their big mouths!,angry
"Don’t try to please other people if in the end, you know it won’t work.",angry
It takes a lot of energy to get angry. I don’t care to use my energy that way.,angry
Sometimes I’m just not in the mood to talk…,angry
"I may look calm, but in my head I’ve killed you about times.",angry
"When you stopped believing in me, I did too!",angry
"People change, things go wrong, shit happens, but life goes on…",angry
"If I delete your number, you’re basically deleted from my life.",angry
I wouldn’t have to manage my anger if people could learn to manage their stupidity.,angry
It sucks when you realize you rejected other people for that one person who wasted your time.,angry
"I’m the person that the more you complain about me, the harder I’ll try to annoy you.",angry
You should have two facebook accounts. One for each face.,angry
"Don’t put words into my mouth. I have got plenty to say. Don’t tell me how to live my life, I do things my way.",angry
"Everything is getting expensive except some people, they are getting cheaper.",angry
You can’t trust anybody these days… You think you have a good friend till you turn around and realize they have the knife nches deep in your back.,angry
"Everything is getting expensive except some people, they are getting cheaper…",angry
I would not have to manage my anger if people would manage their stupidity.,angry
Some people never realize the emotional and mental damage they do to others.,angry
"Don’t be so happy, I don’t really forgive people, I just pretend like it’s ok and wait for my turn to destroy them.",angry
I will not delete you or block you. I’m keeping you there so you will be able to see how happy I’m without you.,angry
"Go ahead, judge me. Just remember to be perfect for the rest of your life!",angry
"Nobody makes you angry, you decide to use anger as a response.",angry
My silence doesn’t mean that I quit… It simply means that I don’t want to argue with people who just don’t want to understand.,angry
"If you are patient in one moment of anger, you will escape a hundred days of sorrow.",angry
"Never forget what someone says to you when they are angry, because that’s when the truth comes out.",angry
Anger is a feeling that makes your mouth work faster than your mind.,angry
What goes around comes around. That’s what people say. So all the pain you caused me will come back to you someday.,angry
I will not delete you or block you. I’m keeping you there so you will be able to see how happy I’m without you…,angry
I text you because I want to have a conversation with you. Not to get one word answers.,angry
Definition of Ex: Thanks for the experience. Our time has expired. Now exit my life.,angry
"Actions speak louder than words, your words don’t mean anything to me when your actions are telling me different.",angry
"Never get into fights with ugly people, they have nothing to lose…",angry
"When you are angry, your text speed increases by a ridiculous amount.",angry
"My life, my choices, my problems, my mistakes, my lessons. Not your business, mind your own problems before you talk about mine.",angry
"No matter how long you know someone, they eventually show their true colors.",angry
Don’t make so many promises when you can’t even keep one.,angry
"I told you I needed you, you told me the same. I wasn’t lying, so why didn’t you tell the truth?",angry
"The more I get to know guys, the more I like Dogs.",angry
I don’t regret my past. I just regret the time I have wasted with the wrong people.,angry
Some things can never be forgotten and nor forgiven.,angry
There is no excuse for cheating in a relationship.,angry
"If you don’t leave me alone, I’m going to pop your head off and shit down your neck.",angry
I hate the moment when suddenly my anger turns into tears.,angry
"I’m not arguing, I’m just explaining why I’m right.",angry
Getting angry doesn’t solve Anything.,angry
Holding onto anger is like drinking poison and expecting the anther person to die.,angry
"I don’t Know, how people can fake whole relationship. I can’t even fake a hello to somebody. I don’t like…",angry
Don’t let the ending be so ugly that you can’t remember how beautiful the beginning was.,angry
Sometimes you have to bite someone to remind everyone that you have teeth!,angry
Sometimes people should shut up if they don’t have anything positive to say.,angry
"Just need to get this out. I’m angry, pissed off, upset, frustrated, and irritated. No reason.. Just am. Don’t ask why… Cuz I don’t know.",angry
There comes a point in your life when you realize that you’re tired of trying and it’s time to cut your losses and let go. I have reached that point,angry
Don’t test my patience…if I lose my patience you will become patient …,angry
I am having one of those days where I just want to rub people’s face against a cheese grater,angry
It just seems like the past few weeks have been one very long bad day!,angry
Thinks it would be really nice of you to go sit on a cactus,angry
Anger is an acid that can do more harm to the vessel in which it is stored than to anything on which it is poured. But I really don’t care.,angry
I actually don’t need to control my anger. Everyone around me needs to control their habit of pissing me off…,angry
"I think that stupid people were put on this planet to test my anger management skills.,",angry
A good woman doesn’t get angry and she sure as hell doesn’t get even. She gets over it and keeps it moving.,angry
"People don’t listen, they just wait for their turn to talk.",angry
How stupid of me to believe a boy like you could love a girl like me.,angry
Why stress over someone that won’t even text to see if you’re alright?,angry
"You were my cup of tea, I drink coffee now.",angry
"I don’t give up easily on someone, but when I finally do I will be so done with you and nothing you’ll ever do will bring me back.",angry
"I don’t have time to hate anyone, I will just forget about you.",angry
Choose people who choose you.,angry
"If someone breaks your heart, just punch them in the face. Seriously. Punch them in faceand go get some ice-cream",angry
"I don’t hate you, but I have lost all the reason to love you.",angry
“I didn’t lose you. you lost me. You’ll search for me inside of everyone you’re with &I won’t be found. ”- R.H.Sin.,angry
"I didn’t stop loving you. I decided to stop showing it because no matter how hard I tried, you wouldn’t get it.",angry
I had a lot of reasons to give up on you. But I still chose to stay. You had a lot of reasons to stay. But you chose to give up…,angry
"I’m a little bitter today, sorry if I offend anyone, but right now with the mood, I’m in I really don’t care..",angry
"Don’t chat with me when you are bored. Bitch, please! I’m not here for your entertainment.",angry
I just don’t care if anyone doesn’t like me. I wasn’t put on earth to entertain everyone.,angry
It sucks when you realize you rejected other people for that one person who wasted your time.,angry
"No matter how long you know someone, they eventually show their true colors.",angry
Sometimes I’m just not in the mood to talk.,angry
"Anger is never without a reason, but seldom with a good one.",angry
I will not delete you or block you. I am keeping you there so you will be able to see how happy I’m without you.,angry
"I may look calm, but in my head, I’ve killed you about 5 times.",angry
Some people need to open their small minds instead of their big mouths.,angry
Anger is a temporary madness.,angry
"Anger is a great force. If you control it, it can be transmuted into a power which can move the whole world.",angry
"Don’t try to please other people if, in the end, you know it won’t work.",angry
"Everything is getting expensive except some people, they are getting cheaper.",angry
"If you’re going to talk about me behind my back, don’t smile at me to my face!",angry
"People change, things go wrong, shit happens, but life goes on.",angry
"Just because I’m being quiet, that doesn’t mean I’m mad.",angry
"Nobody makes you angry, you decide to use anger as a response.",angry
Never forget what someone says to you when they are angry because that’s when the truth comes out.,angry
It sucks when you realize you rejected other people for that one person who wasted your time.,angry
Some people never realize the emotional and mental damage they do to others.,angry
My silence doesn’t mean that I quit… It simply means that I don’t want to argue with people who just don’t want to understand.,angry
Never make yourself feel like nothing to make someone else feel like everything.,angry
"It’s better to cry than to be angry because anger hurts others, while tears flow silently through the soul and cleanness the heart…",angry
Sometimes one middle finger isn’t enough to let someone know how you feel. That’s why you have two hands.,angry
Anger is an acid that can do more harm to the vessel in which it is stored than to anything on which it is poured.,angry
"Sometimes I’m not angry, I’m hurt and there’s a big difference.",angry
Never regret something that once made you smile.,angry
Anger blows out the lamp of the mind.,angry
Anger dwells only in the bosom of fools.,angry
"Anger as soon as fed is dead, Its starving makes it fat.",angry
"Don’t be so happy, I don’t really forgive people, I just pretend like it’s OK and wait for my turn to destroy them.",angry
Never forget what someone says to you when they are angry because that’s when the truth comes out.,angry
A person who has lots of anger inside definitely loves people more than anyone else can. because if red color indicates anger then it indicates love too…,angry
"By God, there’s a lot to make you angry.",angry
Some people will pretend to care just so they can get a better seat to watch your struggle. Every helping hand is not always there to help.,angry
"When you are angry, your text speed increases by a ridiculous amount.",angry
"Beware, I’m not in my greatest mood today.",angry
There are no words to describe the anger and frustration that I am feeling right now.,angry
Anger is a feeling that makes your mouth work faster than your mind.,angry
Only Two People will tell you the truth about yourself: someone who is angry with you and someone who loves you.,angry
"Anger is our natural defense against pain. So when I say, I hate you – it really means you hurt me.",angry
"It’s better to cry than to be angry because anger hurts others, while tears flow silently through the soul and cleanness the heart.",angry
"Feelings are much like waves, we can’t stop them from coming but we can choose which ones to surf.",angry
"If you want to hear the whole truth about yourself, make your neighbor angry.",angry
Anger is only one letter short of Danger.,angry
"No matter how long you know someone, they eventually show their true colors.",angry
May I kill you in the morning?,angry
Is getting close to just walking away?,angry
"Anger makes you smaller, while forgiveness forces you to grow beyond what you were.",angry
Hating Me Won’T Make You Pretty.,angry
Anger Is One Letter Short Of Danger.,angry
"I Am If I Changed, But You Changed Too.",angry
Anger Is My Power So Don’t Make Me Angry.,angry
Even The Nicest People Have Their Limits.,angry
Whatever Is Begun In Anger Ends In Shame.,angry
Don’t Make Me Angry And Change Your Status.,angry
Silence Is The Best Way To React While Angry.,angry
"It’s Just A Chapter In Your Life, Turn The Page And Move On.",sad
"When People Get Angry With Him, I Remind Them That He’S Kid.",angry
"If Someone Is Angry With You And You Laugh At Them, You Win.",angry
Nobody Makes You Angry. You Decide To Use Anger As A Response.,angry
I Miss You That True But It Doesn’t Mean I Forget Your Lies.,angry
I will not delete you or block you. I am keeping you there so you will be able to see how happy I’m without you.,angry
"I may look calm, but in my head, I’ve killed you about 5 times.",angry
"People change, things go wrong, shit happens, but life goes on.",angry
"Just because I’m being quiet, that doesn’t mean I’m mad.",angry
It sucks when you realize you rejected other people for that one person who wasted your time.,angry
My silence doesn’t mean that I quit… It simply means that I don’t want to argue with people who just don’t want to understand!,angry
A person who has lots of anger inside definitely loves people more than anyone else can. because if red color indicates anger then it indicates love too…,angry
Never regret something that once made you smile.,angry
I do not exist to impress the world. I exist to live my life in a way that will make me happy.,angry
